EDA,Time
19.479,2017-08-28 15:57:23
19.9966666667,2017-08-28 15:57:24
20.5913333333,2017-08-28 15:57:25
19.9966666667,2017-08-28 15:57:26
20.5243333333,2017-08-28 15:57:27
21.0,2017-08-28 15:57:28
19.479,2017-08-28 15:57:29
20.0273333333,2017-08-28 15:57:30
21.0,2017-08-28 15:57:31
19.9966666667,2017-08-28 15:57:32
19.479,2017-08-28 15:57:33
19.9966666667,2017-08-28 15:57:34
20.0273333333,2017-08-28 15:57:35
20.5913333333,2017-08-28 15:57:36
21.0,2017-08-28 15:57:37
19.9966666667,2017-08-28 15:57:38
19.479,2017-08-28 15:57:39
19.9966666667,2017-08-28 15:57:40
20.5913333333,2017-08-28 15:57:41
19.905,2017-08-28 15:57:42
19.479,2017-08-28 15:57:43
19.479,2017-08-28 15:57:44
20.5913333333,2017-08-28 15:57:45
20.0273333333,2017-08-28 15:57:46
20.5913333333,2017-08-28 15:57:47
19.479,2017-08-28 15:57:48
20.0273333333,2017-08-28 15:57:49
21.0,2017-08-28 15:57:50
19.9966666667,2017-08-28 15:57:51
19.479,2017-08-28 15:57:52
19.9966666667,2017-08-28 15:57:53
20.0273333333,2017-08-28 15:57:54
21.0,2017-08-28 15:57:55
20.5913333333,2017-08-28 15:57:56
20.5243333333,2017-08-28 15:57:57
20.0273333333,2017-08-28 15:57:58
21.0,2017-08-28 15:57:59
20.5913333333,2017-08-28 15:58:00
20.5243333333,2017-08-28 15:58:01
19.9966666667,2017-08-28 15:58:02
19.479,2017-08-28 15:58:03
19.9966666667,2017-08-28 15:58:04
19.479,2017-08-28 15:58:05
20.5243333333,2017-08-28 15:58:06
19.479,2017-08-28 15:58:07
19.9966666667,2017-08-28 15:58:08
20.5913333333,2017-08-28 15:58:09
19.9966666667,2017-08-28 15:58:10
19.9966666667,2017-08-28 15:58:11
20.0273333333,2017-08-28 15:58:12
19.479,2017-08-28 15:58:13
19.479,2017-08-28 15:58:14
20.5243333333,2017-08-28 15:58:15
20.0273333333,2017-08-28 15:58:16
20.0273333333,2017-08-28 15:58:17
20.0273333333,2017-08-28 15:58:18
21.0,2017-08-28 15:58:19
20.5913333333,2017-08-28 15:58:20
20.5243333333,2017-08-28 15:58:21
20.0273333333,2017-08-28 15:58:22
19.9966666667,2017-08-28 15:58:23
20.0273333333,2017-08-28 15:58:24
19.9966666667,2017-08-28 15:58:25
20.0273333333,2017-08-28 15:58:26
20.0273333333,2017-08-28 15:58:27
19.479,2017-08-28 15:58:28
19.9966666667,2017-08-28 15:58:29
21.0,2017-08-28 15:58:30
20.5913333333,2017-08-28 15:58:31
20.0273333333,2017-08-28 15:58:32
20.0273333333,2017-08-28 15:58:33
20.5913333333,2017-08-28 15:58:34
19.479,2017-08-28 15:58:35
21.0,2017-08-28 15:58:36
20.5243333333,2017-08-28 15:58:37
19.479,2017-08-28 15:58:38
19.479,2017-08-28 15:58:39
21.0,2017-08-28 15:58:40
19.9966666667,2017-08-28 15:58:41
19.9966666667,2017-08-28 15:58:42
19.479,2017-08-28 15:58:43
20.5913333333,2017-08-28 15:58:44
20.5913333333,2017-08-28 15:58:45
21.0,2017-08-28 15:58:46
19.9966666667,2017-08-28 15:58:47
19.479,2017-08-28 15:58:48
19.479,2017-08-28 15:58:49
21.0,2017-08-28 15:58:50
21.0,2017-08-28 15:58:51
19.479,2017-08-28 15:58:52
20.0273333333,2017-08-28 15:58:53
19.9966666667,2017-08-28 15:58:54
19.9966666667,2017-08-28 15:58:55
19.479,2017-08-28 15:58:56
19.479,2017-08-28 15:58:57
20.0273333333,2017-08-28 15:58:58
20.5913333333,2017-08-28 15:58:59
21.0,2017-08-28 15:59:00
20.5243333333,2017-08-28 15:59:01
19.9966666667,2017-08-28 15:59:02
19.479,2017-08-28 15:59:03
20.5243333333,2017-08-28 15:59:04
19.9966666667,2017-08-28 15:59:05
19.9966666667,2017-08-28 15:59:06
19.479,2017-08-28 15:59:07
20.0273333333,2017-08-28 15:59:08
19.9966666667,2017-08-28 15:59:09
21.0,2017-08-28 15:59:10
19.9966666667,2017-08-28 15:59:11
19.479,2017-08-28 15:59:12
19.479,2017-08-28 15:59:13
19.9966666667,2017-08-28 15:59:14
20.5913333333,2017-08-28 15:59:15
21.0,2017-08-28 15:59:16
19.9966666667,2017-08-28 15:59:17
19.479,2017-08-28 15:59:18
20.0273333333,2017-08-28 15:59:19
