EDA,Time
0.846297,2017-08-29 22:11:09.000
1.193533,2017-08-29 22:11:09.250
1.207686,2017-08-29 22:11:09.500
1.239694,2017-08-29 22:11:09.750
1.258899,2017-08-29 22:11:10.000
1.255058,2017-08-29 22:11:10.250
1.228171,2017-08-29 22:11:10.500
1.217928,2017-08-29 22:11:10.750
1.225610,2017-08-29 22:11:11.000
1.237133,2017-08-29 22:11:11.250
1.261460,2017-08-29 22:11:11.500
1.267861,2017-08-29 22:11:11.750
1.260179,2017-08-29 22:11:12.000
1.252497,2017-08-29 22:11:12.250
1.270422,2017-08-29 22:11:12.500
1.316514,2017-08-29 22:11:12.750
1.369007,2017-08-29 22:11:13.000
1.408697,2017-08-29 22:11:13.250
1.441986,2017-08-29 22:11:13.500
1.445827,2017-08-29 22:11:13.750
1.438145,2017-08-29 22:11:14.000
1.445827,2017-08-29 22:11:14.250
1.439425,2017-08-29 22:11:14.500
1.431743,2017-08-29 22:11:14.750
1.430463,2017-08-29 22:11:15.000
1.434304,2017-08-29 22:11:15.250
1.413819,2017-08-29 22:11:15.500
1.399735,2017-08-29 22:11:15.750
1.475275,2017-08-29 22:11:16.000
1.472813,2017-08-29 22:11:16.250
1.440805,2017-08-29 22:11:16.500
1.422880,2017-08-29 22:11:16.750
1.424160,2017-08-29 22:11:17.000
1.417759,2017-08-29 22:11:17.250
1.411357,2017-08-29 22:11:17.500
1.429282,2017-08-29 22:11:17.750
1.431842,2017-08-29 22:11:18.000
1.442085,2017-08-29 22:11:18.250
1.407516,2017-08-29 22:11:18.500
1.297408,2017-08-29 22:11:18.750
1.325575,2017-08-29 22:11:19.000
1.393432,2017-08-29 22:11:19.250
1.466411,2017-08-29 22:11:19.500
1.513783,2017-08-29 22:11:19.750
1.571398,2017-08-29 22:11:20.000
1.621331,2017-08-29 22:11:20.250
1.650779,2017-08-29 22:11:20.500
1.664862,2017-08-29 22:11:20.750
1.678946,2017-08-29 22:11:21.000
1.678946,2017-08-29 22:11:21.250
1.671264,2017-08-29 22:11:21.500
1.655900,2017-08-29 22:11:21.750
1.640536,2017-08-29 22:11:22.000
1.630293,2017-08-29 22:11:22.250
1.625172,2017-08-29 22:11:22.500
1.620051,2017-08-29 22:11:22.750
1.614929,2017-08-29 22:11:23.000
1.609808,2017-08-29 22:11:23.250
1.603406,2017-08-29 22:11:23.500
1.593164,2017-08-29 22:11:23.750
1.582921,2017-08-29 22:11:24.000
1.572679,2017-08-29 22:11:24.250
1.561156,2017-08-29 22:11:24.500
1.548352,2017-08-29 22:11:24.750
1.539390,2017-08-29 22:11:25.000
1.527867,2017-08-29 22:11:25.250
1.520185,2017-08-29 22:11:25.500
1.512503,2017-08-29 22:11:25.750
1.503541,2017-08-29 22:11:26.000
1.497139,2017-08-29 22:11:26.250
1.492018,2017-08-29 22:11:26.500
1.484336,2017-08-29 22:11:26.750
1.480495,2017-08-29 22:11:27.000
1.477934,2017-08-29 22:11:27.250
1.472813,2017-08-29 22:11:27.500
1.471533,2017-08-29 22:11:27.750
1.468972,2017-08-29 22:11:28.000
1.463851,2017-08-29 22:11:28.250
1.460010,2017-08-29 22:11:28.500
1.457449,2017-08-29 22:11:28.750
1.452328,2017-08-29 22:11:29.000
1.447206,2017-08-29 22:11:29.250
1.449767,2017-08-29 22:11:29.500
1.445926,2017-08-29 22:11:29.750
1.467692,2017-08-29 22:11:30.000
1.512503,2017-08-29 22:11:30.250
1.513783,2017-08-29 22:11:30.500
1.511223,2017-08-29 22:11:30.750
1.512503,2017-08-29 22:11:31.000
1.513783,2017-08-29 22:11:31.250
1.515064,2017-08-29 22:11:31.500
1.524026,2017-08-29 22:11:31.750
1.548352,2017-08-29 22:11:32.000
1.570118,2017-08-29 22:11:32.250
1.591884,2017-08-29 22:11:32.500
1.603406,2017-08-29 22:11:32.750
1.616210,2017-08-29 22:11:33.000
1.620051,2017-08-29 22:11:33.250
1.629013,2017-08-29 22:11:33.500
1.630293,2017-08-29 22:11:33.750
1.631574,2017-08-29 22:11:34.000
1.626452,2017-08-29 22:11:34.250
1.634134,2017-08-29 22:11:34.500
1.639256,2017-08-29 22:11:34.750
1.617490,2017-08-29 22:11:35.000
1.623892,2017-08-29 22:11:35.250
1.635415,2017-08-29 22:11:35.500
1.650779,2017-08-29 22:11:35.750
1.657180,2017-08-29 22:11:36.000
1.654620,2017-08-29 22:11:36.250
1.653339,2017-08-29 22:11:36.500
1.650779,2017-08-29 22:11:36.750
1.662302,2017-08-29 22:11:37.000
1.652059,2017-08-29 22:11:37.250
1.644377,2017-08-29 22:11:37.500
1.635415,2017-08-29 22:11:37.750
1.629013,2017-08-29 22:11:38.000
1.632854,2017-08-29 22:11:38.250
1.625172,2017-08-29 22:11:38.500
1.618770,2017-08-29 22:11:38.750
1.630293,2017-08-29 22:11:39.000
1.625172,2017-08-29 22:11:39.250
1.621331,2017-08-29 22:11:39.500
1.611088,2017-08-29 22:11:39.750
1.602126,2017-08-29 22:11:40.000
1.597005,2017-08-29 22:11:40.250
1.563716,2017-08-29 22:11:40.500
1.563716,2017-08-29 22:11:40.750
1.572679,2017-08-29 22:11:41.000
1.570118,2017-08-29 22:11:41.250
1.577800,2017-08-29 22:11:41.500
1.585482,2017-08-29 22:11:41.750
1.600846,2017-08-29 22:11:42.000
1.595724,2017-08-29 22:11:42.250
1.597005,2017-08-29 22:11:42.500
1.588042,2017-08-29 22:11:42.750
1.594444,2017-08-29 22:11:43.000
1.568838,2017-08-29 22:11:43.250
1.529147,2017-08-29 22:11:43.500
1.548352,2017-08-29 22:11:43.750
1.589323,2017-08-29 22:11:44.000
1.631574,2017-08-29 22:11:44.250
1.672544,2017-08-29 22:11:44.500
1.663582,2017-08-29 22:11:44.750
1.666143,2017-08-29 22:11:45.000
1.677666,2017-08-29 22:11:45.250
1.685348,2017-08-29 22:11:45.500
1.698151,2017-08-29 22:11:45.750
1.667423,2017-08-29 22:11:46.000
1.639256,2017-08-29 22:11:46.250
1.641816,2017-08-29 22:11:46.500
1.641816,2017-08-29 22:11:46.750
